MSOA Code,areaName,Not United Kingdom (%),Owned: Owned outright (%),Owned: Owned with a mortgage or loan (%),Social rented (%),Private rented (%),Household spaces with no usual residents (%),population_density,population_prop_over65
E02000001,City of London,36.6779661,24.9,17.4,16.5,35.9,20.7,33.54382333,0.168912663
E02000002,Marks Gate,23.85239852,22,24.4,41.8,9.9,2.9,35.77705828,0.130446025
E02000003,Chadwell Heath East,28.39223494,26.8,38.4,11.6,21.6,2.8,52.16619981,0.117057455
E02000004,Eastbrookend,14.39663539,31,41.8,16,9.8,1.9,26.82310469,0.15717063
E02000005,Becontree Heath,24.9591217,22.3,36,24.9,15.1,2.7,87.81144781,0.08857362
E02000007,Central Park & Frizlands Lane,24.26345126,16.2,23.9,48.3,9.7,2.6,57.88018433,0.106588376
E02000008,Becontree East,23.59754516,15.4,30.3,38.4,14,1.1,89.16901408,0.105038698
E02000009,Becontree West,28.93388922,15.2,30.7,30.6,19.3,2.4,123.0905307,0.073801674
E02000010,Dagenham North,24.15554266,14.1,31.2,36.3,15.7,1.6,82.10526316,0.094632768
E02000011,Dagenham Eastbrook,25.40811379,29.4,37.1,12.6,19.2,2.5,43.8770389,0.121246783
E02000012,Longbridge & Barking Park,32.35234628,28.7,40.5,14.6,14.6,1.8,86.85384615,0.107962094
E02000013,Becontree South,24.86312783,15.3,30.7,37.8,13.9,1.5,68.56704981,0.099798838
E02000014,Dagenham Central,25.29249096,15.8,28.1,40,14.9,1.7,83.39480302,0.10764901
E02000015,Old Dagenham Park & Village,27.15853497,11.6,19.3,50.6,15.9,1.9,60.13215859,0.092429792
E02000016,Barking Central,58.40281397,5.5,17.1,35.4,39.9,4.4,113.1038375,0.034627283
E02000017,Barking East,50.49423394,23.5,33.4,9.8,31.5,2.4,105.7582668,0.085283019
E02000018,Mayesbrook Park & Rippleside,28.42519685,12.1,26.7,42.2,17,0.7,71.05301915,0.084257436
E02000019,Goresbrook & Scrattons Farm,27.86370227,13.4,32.9,34.7,15.7,1.8,30.19749835,0.092544147
E02000020,Creekmouth & Barking Riverside,39.60758948,15.1,27.8,36.4,18.3,2.3,39.06112899,0.075177836
E02000021,Rylands Estate & Dagenham Dock,33.36285425,19.7,34.2,19.2,24.3,3.6,31.05555556,0.102191413
E02000022,Gascoigne Estate & Roding Riverside,49.64110744,4,10.8,63.2,17.3,0.7,109.2523364,0.040083099
E02000023,Thames View,36.59364394,8.4,21.1,52.3,16.3,1.5,45.98280802,0.053090728
E02006799,Becontree North,27.0602706,16.1,29.8,34.2,17.9,2.7,74.29985856,0.111936037
E02000024,High Barnet & Hadley,21.23867664,36.7,37.3,5.2,18.3,4.5,95.68728522,0.097234692
E02000025,Hadley Wood,23.32830568,29,33.7,14.1,21.1,2.8,29.45391582,0.199511622
E02000026,Oak Hill,24.72675432,38.1,37.9,5.3,16.2,1.7,34.75020816,0.167964538
E02000027,Ducks Island & Underhill,27.02646385,23.7,28.9,34,10,1.7,44.97271487,0.192173517
E02000028,New Barnet West,25.42977619,35.5,36.2,3.6,23.2,1.3,57.54029851,0.167254617
E02000029,New Barnet Town & East Barnet,23.11846894,27.4,36.2,9.6,25.3,1.4,64.47916667,0.15993538
E02000030,Totteridge & Barnet Gate,24.08543264,42.5,35.2,11.3,8.9,4.2,56.08902077,0.131837901
E02000031,Oakleigh Park,33.60296134,38.3,29.1,8.2,22.5,2.8,6.338569175,0.229520615
E02000032,Osidge,32.37877052,42.4,43.4,3,10.2,1.6,40.51572976,0.206339104
E02000033,Brunswick Park Road,29.55370739,30.8,36,14,15.7,2.4,55.58655222,0.186076438
E02000034,Whetstone East,32.54583921,29.9,34.4,9.8,23.8,1.8,50.1295045,0.153431428
E02000035,Woodside Park,41.64469554,28.1,27.5,12.9,29.3,3,60.05134788,0.160752458
E02000036,Edgware East,36.28409197,27.8,37.4,12.6,19.5,2.4,69.93066256,0.167456208
E02000037,Edgware Park,33.27173801,32,33.3,20.2,12.1,2.2,64.87465181,0.144267926
E02000038,Friern Barnet,35.39090736,26.3,37.1,9.7,24.4,2.8,24.40333025,0.173237301
E02000039,Mill Hill Park,31.14606742,34.2,38.7,4.1,21.8,4.1,65.11060692,0.142259779
E02000040,Mill Hill East,34.3198555,28.9,27.5,24.9,14.6,3.7,34.02908068,0.160716747
E02000041,Edgware Central,42.44694132,29.1,31.3,11,26.6,3.3,16.3957323,0.157004259
