MSOA11CD,all_bame_prop
E02000001,0.213694915
E02000002,0.350110701
E02000003,0.453857641
E02000004,0.190229699
E02000005,0.337304368
E02000007,0.328176544
E02000008,0.303569885
E02000009,0.388207266
E02000010,0.307951248
E02000011,0.336350412
E02000012,0.561084142
E02000013,0.310878362
E02000014,0.295149968
E02000015,0.367182335
E02000016,0.704142783
E02000017,0.687338197
E02000018,0.358605174
E02000019,0.361164814
E02000020,0.53643812
E02000021,0.424595142
E02000022,0.61775094
E02000023,0.548287566
E02000024,0.16601024
E02000025,0.212669683
E02000026,0.214161255
E02000027,0.303292353
E02000028,0.251378527
E02000029,0.250205471
E02000030,0.249726177
E02000031,0.284206197
E02000032,0.32289678
E02000033,0.309827808
E02000034,0.292783263
E02000035,0.360703076
E02000036,0.42036675
E02000037,0.365054922
E02000038,0.345349058
E02000039,0.298576779
E02000040,0.376962623
E02000041,0.428101237
E02000042,0.420340258
E02000043,0.396049896
E02000044,0.438979061
E02000045,0.354596073
E02000046,0.372221436
E02000047,0.539435505
E02000048,0.361108282
E02000049,0.615429848
E02000050,0.376291733
E02000051,0.343009136
E02000052,0.265518664
E02000053,0.590318501
E02000054,0.459616986
E02000055,0.381221923
E02000056,0.2032132
E02000057,0.295831106
E02000058,0.232191781
E02000059,0.577971125
E02000060,0.273901099
E02000061,0.337077249
E02000062,0.506309148
E02000063,0.477262946
E02000064,0.391485275
E02000065,0.566918863
E02000066,0.470905508
E02000067,0.304228571
E02000068,0.346913914
E02000069,0.256377139
E02000070,0.176126984
E02000071,0.15109589
E02000072,0.287455258
E02000073,0.161973144
E02000074,0.178576094
E02000075,0.115626573
E02000077,0.171289787
E02000078,0.093672538
E02000079,0.134138589
E02000080,0.18504772
E02000081,0.104485558
E02000082,0.125844975
E02000083,0.121174905
E02000084,0.129029227
E02000085,0.099835297
E02000086,0.074372271
E02000087,0.103311783
E02000088,0.081943906
E02000089,0.076063215
E02000090,0.094430438
E02000091,0.105350134
E02000092,0.125894802
E02000093,0.720573371
E02000094,0.625314429
E02000095,0.721701441
E02000096,0.677151882
E02000097,0.638758651
E02000098,0.672079557
E02000099,0.700011485
E02000100,0.684191702
E02000101,0.696635234
E02000102,0.683318351
E02000103,0.577553594
E02000104,0.701049209
E02000105,0.757552706
E02000106,0.623666438
E02000107,0.46530116
E02000108,0.737849332
E02000109,0.762672344
E02000110,0.469271671
E02000111,0.837865467
E02000112,0.789334182
E02000113,0.752563439
E02000114,0.47436182
E02000115,0.378776978
E02000116,0.592297314
E02000117,0.68875385
E02000118,0.826843501
E02000119,0.781456954
E02000120,0.35815064
E02000121,0.839695511
E02000122,0.417749722
E02000123,0.602350703
E02000124,0.351790256
E02000125,0.461211281
E02000126,0.668810289
E02000127,0.194860309
E02000128,0.116671237
E02000130,0.305029062
E02000131,0.373799419
E02000132,0.195167503
E02000133,0.120861961
E02000134,0.169776293
E02000135,0.434970208
E02000136,0.150488827
E02000137,0.151801687
E02000138,0.142641129
E02000139,0.1684514
E02000140,0.156572566
E02000141,0.303746398
E02000142,0.147857574
