MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000001,133.8,956.7,977.2,36.6779661,0.168912663,0.213694915,919325,24.9,17.4,16.5,35.9,20.7,33.54382333,-0.552,14.805,-0.6705,0.062666667,0.104166667,0.050833333,5.3635,-1.660833333,40.37016667
E02000002,142.2,1461,2611.5,23.85239852,0.130446025,0.350110701,350000,22,24.4,41.8,9.9,2.9,35.77705828,-0.46525,34.58575,0.2555,0.21325,0.40175,0.1345,30.48075,0.445,19.8945
E02000003,313.1,1458.7,2174.7,28.39223494,0.117057455,0.453857641,348000,26.8,38.4,11.6,21.6,2.8,52.16619981,-0.704166667,24.88083333,-0.02,0.139833333,0.341833333,0.086,17.611,0.523833333,30.186
E02000004,508.5,1271,2482.5,14.39663539,0.15717063,0.190229699,350000,31,41.8,16,9.8,1.9,26.82310469,-0.23225,23.95425,0.05675,0.1415,0.37425,0.10025,23.15025,0.13275,20.39875
E02000005,210.9,1207.8,2339,24.9591217,0.08857362,0.337304368,330000,22.3,36,24.9,15.1,2.7,87.81144781,-0.9564,30.9286,0.108,0.1668,0.408,0.1106,27.5686,0.6244,35.861
E02000007,239,1094.9,1592.3,24.26345126,0.106588376,0.328176544,312500,16.2,23.9,48.3,9.7,2.6,57.88018433,-0.0236,36.4734,0.364,0.2226,0.4266,0.1338,30.5042,0.4372,23.3574
E02000008,308.1,1547.9,2124.5,23.59754516,0.105038698,0.303569885,310000,15.4,30.3,38.4,14,1.1,89.16901408,-1.025428571,34.80271429,0.350857143,0.205285714,0.418428571,0.140714286,28.46928571,0.300428571,31.26457143
E02000009,202.9,1251.2,2037.4,28.93388922,0.073801674,0.388207266,300000,15.2,30.7,30.6,19.3,2.4,123.0905307,-0.8675,36.2085,0.376833333,0.213,0.4045,0.13,28.37083333,0.653166667,34.59133333
E02000010,195.6,1173.4,2140.4,24.15554266,0.094632768,0.307951248,305500,14.1,31.2,36.3,15.7,1.6,82.10526316,-0.6704,34.6806,0.282,0.2208,0.4148,0.1382,25.7584,0.3854,26.6636
E02000011,185.9,1415.7,2216.2,25.40811379,0.121246783,0.336350412,329500,29.4,37.1,12.6,19.2,2.5,43.8770389,-0.7695,25.48575,0.23725,0.146,0.379,0.091,22.85625,0.196,27.158
