MSOA code,house price
E02004297,142995 
E02004290,140000 
E02004298,135000 
E02004299,100000 
E02004291,112500 
E02004300,80000 
E02004292,198000 
E02004301,109995 
E02004302,75000 
E02004303,88500 
E02004293,100000 
E02004304,88000 
E02004294,170000 
E02004305,144000 
E02004295,141000 
E02004320,149000 
E02004321,95000 
E02004322,89000 
E02004296,109250 
E02004306,150000 
E02004323,82000 
E02004308,171000 
E02004309,128000 
E02004307,92225 
E02004324,68500 
E02004310,113500 
E02004311,115000 
E02004312,148000 
E02004313,119950 
E02004314,260000 
E02004316,114750 
E02004325,84995 
E02004315,279950 
E02004326,77500 
E02004328,81950 
E02004327,36250 
E02004329,120000 
E02004317,107550 
E02004330,75000 
E02004331,105000 
E02004318,120500 
E02004348,155000 
E02004332,147995 
E02004319,135000 
E02004349,75000 
E02004350,112000 
E02004333,103000 
E02004334,73000 
E02004335,145995 
E02004336,68500 
E02004351,75000 
E02004337,121995 
E02004338,119950 
E02004339,220000 
E02004352,80000 
E02004353,119000 
E02004354,111875 
E02004355,86500 
E02004340,71250 
E02004341,165000 
E02004342,58000 
E02004343,98000 
E02004344,108750 
E02004345,118250 
E02004346,169000 
E02004347,170000 
E02002559,194975 
E02002560,115000 
E02002561,145500 
E02002562,83250 
E02002563,120000 
E02002564,122500 
E02002565,90500 
E02002566,68750 
E02002567,143000 
E02002568,240000 
E02002569,236500 
E02002570,77000 
E02002571,104000 
E02002572,99975 
E02002573,216475 
E02001682,163000 
E02001683,161995 
E02001684,97750 
E02001685,120000 
E02001686,135000 
E02001688,141995 
E02001689,113250 
E02001690,126000 
E02001691,107650 
E02001692,105000 
E02001693,110000 
E02001694,126100 
E02001695,146000 
E02001696,102500 
E02001697,179950 
E02001698,235000 
E02001699,119950 
E02001700,140000 
E02001701,188225 
E02001702,122500 
E02001703,197000 
E02001704,115000 
E02001705,106500 
E02001706,170000 
E02001707,127000 
E02006841,138500 
E02006842,109500 
E02002483,137000 
E02002484,100000 
E02002485,76500 
E02002487,53000 
E02002488,205000 
E02002489,84000 
E02002490,60000 
E02002491,95000 
E02002492,118250 
E02002493,149950 
E02002494,80000 
E02006909,217500 
E02002496,61000 
E02002497,39997 
E02002498,47000 
E02002499,85000 
E02002500,96500 
E02002501,135473 
E02002502,76700 
E02002503,109998 
E02002504,114000 
E02002505,67000 
E02002506,86000 
E02002507,132000 
E02002508,145500 
E02002509,124750 
E02002510,199995 
E02002512,200000 
E02002513,169950 
E02002514,150000 
E02006811,190000 
E02001708,214995 
E02001709,261500 
E02001710,120000 
E02001711,149000 
E02001712,250000 
E02001713,290000 
E02001714,229995 
E02001715,140500 
E02001718,143998 
E02001719,168000 
E02001720,227500 
E02001721,155000 
E02001722,136000 
E02001723,114000 
E02001724,215000 
E02001725,130000 
E02001726,120500 
E02001727,140000 
E02001728,123500 
E02001729,148000 
E02001730,147750 
E02001731,145023 
E02001732,120750 
E02001733,129500 
E02001734,110000 
E02001735,75000 
E02001736,78250 
E02001737,94500 
E02006893,160000 
E02001738,350000 
E02001739,117000 
E02001740,320000 
E02001741,169255 
E02001742,235000 
E02001743,198000 
E02001744,218498 
E02001745,124600 
E02001746,189000 
E02001747,231750 
E02001748,211000 
E02001749,140000 
E02001750,220000 
E02001751,221000 
E02001752,117000 
E02001753,212500 
E02001754,214000 
E02001755,252000 
E02001756,135000 
E02001757,169000 
E02001758,124975 
E02001759,123750 
E02001760,103000 
E02001761,120000 
E02001762,179950 
E02001763,103500 
E02001764,161000 
E02001765,115000 
E02001766,95000 
E02001767,107000 
E02005706,110000 
E02005707,180000 
E02005708,201950 
E02005702,280000 
E02005703,159975 
E02005704,187000 
E02005705,251225 
E02005720,136250 
E02005734,83500 
E02005735,47250 
E02005721,226861 
E02005737,117000 
E02005736,145748 
E02005738,134000 
E02005722,279995 
E02005723,142000 
E02005739,105000 
E02005724,247995 
E02005727,183000 
E02005740,78000 
E02005741,169950 
E02005709,112045 
E02005710,115000 
E02005711,93500 
E02005712,148975 
E02005713,158000 
E02005714,189975 
E02005716,174995 
E02005715,147000 
E02005717,180000 
E02005718,137500 
E02005719,141000 
E02005725,265000 
E02005726,419995 
E02005730,223750 
E02005729,198000 
E02005728,140000 
E02005731,136000 
E02005732,300000 
E02005733,193000 
E02002515,80000 
E02002516,105000 
E02002517,105995 
E02002518,147500 
E02002519,130500 
E02002520,165000 
E02002521,175000 
E02002523,52750 
E02002524,117500 
E02002525,92500 
E02002526,114500 
E02002527,66350 
E02002529,125000 
E02002530,112000 
E02002532,106250 
E02002533,173995 
E02002534,160000 
E02006812,143000 
E02006910,110000 
E02001768,127000 
E02001769,99950 
E02001770,125000 
E02001771,173000 
E02001772,152250 
